"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000794","condensed nuclear chromosome","35/4332","99/19717",0.00157168574650962,0.0122742890988387,0.00933793347307735,"9918/5888/4438/10734/4292/27127/10403/6790/9985/1058/4751/56159/23397/64105/55320/151648/891/675/10609/83540/84072/1060/79980/7273/701/11073/5347/699/150280/9212/26039/171484/135458/641/101928601",35
"GO:0016605","PML body","35/4332","99/19717",0.00157168574650962,0.0122742890988387,0.00933793347307735,"4361/5888/6672/55743/4034/58476/11262/7290/2000/51567/11315/9994/4149/1025/6996/57451/23515/8878/79677/204851/23001/11073/7015/94241/5598/55159/10636/81603/545/4261/11200/641/6693/1616/5987",35
"GO:0005771","multivesicular body","21/4332","51/19717",0.00158065746607909,0.0122742890988387,0.00933793347307735,"972/5874/23327/8530/25978/8766/1512/55353/973/51652/9227/684/27243/967/6653/2697/27065/6517/3916/23621/120892",21
"GO:0043020","NADPH oxidase complex","9/4332","15/19717",0.00160048476378745,0.0123027162145682,0.00935956002214884,"1535/4689/4688/53905/50506/653361/1536/654817/654816",9
"GO:0043296","apical junction complex","47/4332","143/19717",0.00168248316102245,0.0128036968553809,0.00974069198486684,"26/999/1495/387/5590/64398/260425/10580/23616/9218/7082/24146/8777/23586/9267/9693/595/51421/1894/6801/9414/4072/57826/84952/5819/1019/57619/81607/5872/56288/90952/1525/50848/120425/57125/79778/154810/3728/25945/84552/1003/5912/1366/89958/9863/100506658/1500",47
"GO:0101002","ficolin-1-rich granule","58/4332","185/19717",0.00187461944325579,0.0141246078843333,0.010745603895682,"240/6556/535/7414/8621/387/5236/2950/10075/1832/4318/23406/83716/57020/1512/8778/11333/3614/10312/51411/317/1/3071/9535/10288/272/5879/28988/6727/3687/7226/3608/79930/2934/23412/226/101/2207/3689/23218/3101/1520/4332/327/5702/11314/5049/3728/374403/10159/161/3916/5265/1675/170482/1378/80301/100049587",58
"GO:0042641","actomyosin","29/4332","79/19717",0.00199719245430234,0.0149006221345498,0.0113359736828306,"1535/22998/5590/9948/10979/10529/7205/5829/10580/10398/79784/9124/1627/8850/81/29109/2317/3936/7168/8476/9531/27295/70/10603/79778/5747/399687/4644/9578",29
"GO:0005876","spindle microtubule","23/4332","59/19717",0.00230086509709439,0.0168408387227716,0.0128120358220131,"259282/6790/332/24137/22919/8766/10426/8881/51203/3832/403/1062/1213/91272/126731/220134/6990/221150/5347/983/9212/9735/146909",23
"GO:0099522","region of cytosol","12/4332","24/19717",0.0023040824632977,0.0168408387227716,0.0128120358220131,"793/23413/1627/5533/5582/9456/5579/1605/1488/10458/120892/3064",12
"GO:0001891","phagocytic cup","13/4332","27/19717",0.0023494450401678,0.0168408387227716,0.0128120358220131,"10347/23616/11151/51411/3936/64005/56990/9938/575/23396/199/7124/345611",13
"GO:0001931","uropod","8/4332","13/19717",0.00236789716601388,0.0168408387227716,0.0128120358220131,"8395/6404/2319/9051/4478/388325/23396/6693",8
"GO:0031254","cell trailing edge","8/4332","13/19717",0.00236789716601388,0.0168408387227716,0.0128120358220131,"8395/6404/2319/9051/4478/388325/23396/6693",8
"GO:0072686","mitotic spindle","37/4332","109/19717",0.00267063784735681,0.018818105572579,0.014316284756786,"10460/4134/259266/8556/6790/22974/8317/23331/51199/22919/1894/79768/9700/51203/9493/3832/9585/57520/1062/84643/1213/27436/126731/220134/29127/4085/6990/2801/150468/983/9657/9212/55920/146909/23636/79441/3833",37
"GO:0030136","clathrin-coated vesicle","58/4332","188/19717",0.00281077667839951,0.0196238628647892,0.0149292822126483,"5244/163/928/920/972/5874/10188/4036/2060/7018/201294/23062/22848/8674/54812/4035/10053/23677/23149/9026/6272/28988/29988/9856/950/65082/85439/5045/1213/127833/7851/2209/55707/26119/917/1173/1493/7401/915/3575/4920/10972/10287/1212/3119/6517/255324/161/10134/3123/3117/22876/3122/79958/163486/8906/3115/3113",58
"GO:0060205","cytoplasmic vesicle lumen","96/4332","338/19717",0.00305087995042666,0.0211065422024971,0.0160572628969824,"2268/26/4057/240/8635/7414/3074/2950/10075/4069/7018/350/201294/7042/51816/7078/1727/410/5155/5267/10916/5611/23406/83716/29108/1512/4125/7040/3614/5054/1075/51411/5777/6678/3827/3273/25801/356/317/1/5340/64333/1621/5199/84766/81/9535/1116/1118/272/2922/1794/28988/6727/351/3608/197/51316/78991/2934/79980/83706/226/7424/51571/3101/4332/213/117156/5702/7184/567/5049/126014/2266/2243/2244/1521/10855/5707/3728/811/23526/302/2157/387263/23621/2760/100/1778/5265/1675/7114/5005/5004/81567",96
"GO:0051233","spindle midzone","15/4332","34/19717",0.00325510477180238,0.0223165291111857,0.0169777868609892,"6790/22919/9094/9928/55207/55143/9585/1062/351/29127/5347/9212/55920/146909/26112",15
"GO:0098945","intrinsic component of presynaptic active zone membrane","10/4332","19/19717",0.00331088841793539,0.0224963043397217,0.0171145547919593,"490/5023/79414/821/2319/2823/27020/776/84628/594855",10
"GO:0031983","vesicle lumen","96/4332","339/19717",0.0033536073470096,0.0225849131953478,0.0171819659138824,"2268/26/4057/240/8635/7414/3074/2950/10075/4069/7018/350/201294/7042/51816/7078/1727/410/5155/5267/10916/5611/23406/83716/29108/1512/4125/7040/3614/5054/1075/51411/5777/6678/3827/3273/25801/356/317/1/5340/64333/1621/5199/84766/81/9535/1116/1118/272/2922/1794/28988/6727/351/3608/197/51316/78991/2934/79980/83706/226/7424/51571/3101/4332/213/117156/5702/7184/567/5049/126014/2266/2243/2244/1521/10855/5707/3728/811/23526/302/2157/387263/23621/2760/100/1778/5265/1675/7114/5005/5004/81567",96
"GO:0008305","integrin complex","14/4332","31/19717",0.00340557708917583,0.0226935171734718,0.0172645887618916,"3683/3675/10077/3682/3676/3695/3687/3680/3688/3681/3689/3684/4067/3690",14
"GO:0097038","perinuclear endoplasmic reticulum","11/4332","22/19717",0.00349829810667139,0.0226935171734718,0.0172645887618916,"114881/2534/1535/5007/148281/81544/1536/80168/64764/10134/10206",11
"GO:0097225","sperm midpiece","11/4332","22/19717",0.00349829810667139,0.0226935171734718,0.0172645887618916,"9368/1235/135138/6869/8878/1672/1043/11337/133558/374308/65010",11
"GO:0030117","membrane coat","33/4332","96/19717",0.00351883709128735,0.0226935171734718,0.0172645887618916,"51226/163/25956/56681/2060/372/128866/22818/54812/1314/10053/23149/27243/9026/10717/51014/22872/65082/1213/9871/130340/6396/55707/1173/553115/23423/1212/8905/161/9276/8906/26286/9907",33
"GO:0048475","coated membrane","33/4332","96/19717",0.00351883709128735,0.0226935171734718,0.0172645887618916,"51226/163/25956/56681/2060/372/128866/22818/54812/1314/10053/23149/27243/9026/10717/51014/22872/65082/1213/9871/130340/6396/55707/1173/553115/23423/1212/8905/161/9276/8906/26286/9907",33
"GO:0043596","nuclear replication fork","17/4332","41/19717",0.00393373901215729,0.0250299480625945,0.0190420795828577,"23649/8318/8914/10286/92797/51659/2073/54465/5558/253714/5814/84296/57804/5557/11169/29935/11277",17
"GO:0005776","autophagosome","32/4332","93/19717",0.00394690376808324,0.0250299480625945,0.0190420795828577,"114881/11345/7879/58476/10548/84557/80183/51715/6185/6737/23710/65082/9140/5305/8878/23001/94241/124997/89849/11337/284417/5587/340061/3916/285180/4077/120892/9583/3064/5178/25851/345611",32
"GO:0035861","site of double-strand break","22/4332","58/19717",0.00420512653864403,0.0264471181480009,0.020120222672938,"7454/4361/5888/56852/23347/10094/8914/55719/92797/84250/51444/55135/142/286257/79677/115004/55159/5429/157570/135458/29935/112441434",22
"GO:0030864","cortical actin cytoskeleton","31/4332","90/19717",0.00442810985481177,0.0276212426189489,0.0210134635042837,"7454/999/9948/11151/23406/793/8976/10486/1627/6242/6711/7456/829/80306/5357/800/11034/9535/9026/2319/28988/57619/2934/7402/10395/6712/91663/3059/4771/89848/830",31
"GO:0005767","secondary lysosome","8/4332","14/19717",0.00446495712386101,0.0276246534248636,0.0210160583493672,"4689/84557/4688/101/653361/8878/3916/120892",8
"GO:0030863","cortical cytoskeleton","38/4332","116/19717",0.0047013266856925,0.0288524968371935,0.0219501670384624,"7454/999/9948/140730/22919/11151/23406/793/8976/10486/1627/6242/6711/7456/829/80306/5357/800/11034/81/9535/9026/2319/28988/57619/2934/7402/2039/2035/10395/2038/6712/91663/3059/27445/4771/89848/830",38
"GO:0032839","dendrite cytoplasm","14/4332","32/19717",0.00484558471465318,0.0294999197428086,0.0224427081520779,"6792/26090/821/9026/2319/23710/84945/6647/127933/7881/10458/339451/120892/100",14
"GO:0031092","platelet alpha granule membrane","9/4332","17/19717",0.0050507015188326,0.0305046337764414,0.0232070662937171,"928/334/9749/6678/6622/51706/54495/6403/3690",9
"GO:0090734","site of DNA damage","26/4332","73/19717",0.00530054792856649,0.0316844303492171,0.0241046223003934,"7454/4361/5888/56852/79968/23347/10094/8914/55719/11335/92797/79000/84250/51444/83666/55135/142/286257/79677/115004/55159/5429/157570/135458/29935/112441434",26
"GO:0005868","cytoplasmic dynein complex","10/4332","20/19717",0.00532931285768698,0.0316844303492171,0.0241046223003934,"1781/8723/89891/83658/55112/1783/1780/6990/1778/140735",10
